E+Version,Climate,System,Parametric,Heating [kBtu],Cooling [kBtu],Fan [kBtu],Heat [kWh],Cool [kWh],Fan [kWh],U,SHGC,Run
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00027Table.csv,18950.10,15115.23,3645.43,5552.38,4428.8,1068.11099,0.9,0.4,27
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00028Table.csv,17881.65,17360.02,4190.23,5239.32,5086.5,1227.73739,0.9,0.55,28
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00029Table.csv,17182.11,19234.52,4650.37,5034.36,5635.7,1362.55841,0.9,0.7,29
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00030Table.csv,16570.39,21360.53,5174.93,4855.12,6258.6,1516.25449,0.9,0.85,30
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00031Table.csv,23453.81,10774.15,2645.70,6871.97,3156.8,775.1901,1.1,0.1,31
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00032Table.csv,21158.72,13372.07,3264.97,6199.50,3918.0,956.63621,1.1,0.25,32
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00033Table.csv,19832.87,15405.48,3757.94,5811.03,4513.8,1101.07642,1.1,0.4,33
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00034Table.csv,18757.95,17634.14,4301.57,5496.08,5166.8,1260.36001,1.1,0.55,34
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00035Table.csv,18063.59,19446.06,4746.08,5292.63,5697.7,1390.60144,1.1,0.7,35
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00036Table.csv,17476.48,21397.95,5229.26,5120.61,6269.6,1532.17318,1.1,0.85,36
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00001Table.csv,28583,15464,3553,8374.83,4530.84,1041.08,0.10,0.10,1
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00002Table.csv,26790,17573,4038,7849.43,5148.77,1183.08,0.10,0.25,2
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00003Table.csv,25729,19106,4423,7538.73,5598.06,1295.87,0.10,0.40,3
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00004Table.csv,24612,21069,4900,7211.25,6173.08,1435.78,0.10,0.55,4
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00005Table.csv,23463,23668,5505,6874.74,6934.67,1613.04,0.10,0.70,5
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00006Table.csv,22484,26632,6219,6587.73,7803.04,1822.25,0.10,0.85,6
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00007Table.csv,32241,15408,3632,9446.64,4514.44,1064.18,0.30,0.10,7
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00008Table.csv,30304,17548,4126,8879.15,5141.51,1208.82,0.30,0.25,8
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00009Table.csv,29192,18992,4503,8553.13,5564.76,1319.24,0.30,0.40,9
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00010Table.csv,27950,20970,4986,8189.34,6144.22,1460.85,0.30,0.55,10
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00011Table.csv,26695,23497,5580,7821.51,6884.48,1634.95,0.30,0.70,11
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00012Table.csv,25619,26369,6278,7506.33,7726.13,1839.43,0.30,0.85,12
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00013Table.csv,35308,15449,3704,10345.23,4526.57,1085.24,0.50,0.10,13
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00014Table.csv,33277,17555,4212,9750.12,5143.47,1234.01,0.50,0.25,14
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00015Table.csv,32115,18988,4587,9409.62,5563.48,1344.03,0.50,0.40,15
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00016Table.csv,30774,20989,5070,9016.69,6149.79,1485.58,0.50,0.55,16
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00017Table.csv,29439,23450,5664,8625.73,6870.80,1659.43,0.50,0.70,17
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00018Table.csv,28303,26212,6339,8292.64,7679.97,1857.24,0.50,0.85,18
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00019Table.csv,37863,15561,3796,11093.78,4559.35,1112.29,0.70,0.10,19
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00020Table.csv,35596,17857,4354,10429.67,5232.09,1275.73,0.70,0.25,20
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00021Table.csv,34210,19558,4782,10023.67,5730.35,1401.21,0.70,0.40,21
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00022Table.csv,32849,21575,5279,9624.79,6321.40,1546.70,0.70,0.55,22
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00023Table.csv,31673,23759,5816,9280.25,6961.44,1704.13,0.70,0.70,23
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00024Table.csv,30604,26216,6422,8966.90,7681.32,1881.64,0.70,0.85,24
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00025Table.csv,40096,15665,3878,11748.19,4589.70,1136.25,0.90,0.10,25
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00026Table.csv,37568,18225,4497,11007.36,5339.83,1317.73,0.90,0.25,26
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00027Table.csv,36002,20117,4980,10548.72,5894.15,1459.22,0.90,0.40,27
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00028Table.csv,34580,22324,5524,10131.89,6541.02,1618.66,0.90,0.55,28
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00029Table.csv,33577,24150,5979,9837.99,7075.86,1751.72,0.90,0.70,29
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00030Table.csv,32644,26206,6489,9564.60,7678.44,1901.38,0.90,0.85,30
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00031Table.csv,41355,15767,3928,12116.93,4619.82,1150.97,1.10,0.10,31
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00032Table.csv,38736,18391,4577,11349.74,5388.66,1341.02,1.10,0.25,32
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00033Table.csv,37094,20403,5089,10868.55,5978.05,1491.21,1.10,0.40,33
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00034Table.csv,35674,22585,5630,10452.41,6617.34,1649.51,1.10,0.55,34
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00035Table.csv,34691,24341,6066,10164.47,7131.87,1777.37,1.10,0.70,35
9.2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00036Table.csv,33808,26228,6536,9905.80,7684.93,1915.12,1.10,0.85,36
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00001Table.csv,18891.83,13061.98,2802.23,5535.31,3827.2,821.05339,0.1,0.1,1
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00002Table.csv,17142.38,15234.45,3268.72,5022.72,4463.7,957.73496,0.1,0.25,2
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00003Table.csv,16177.00,16828.03,3642.47,4739.86,4930.6,1067.24371,0.1,0.4,3
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00004Table.csv,15219.49,18905.51,4118.26,4459.31,5539.3,1206.65018,0.1,0.55,4
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00005Table.csv,14303.25,21585.29,4733.82,4190.85,6324.5,1387.00926,0.1,0.7,5
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00006Table.csv,13569.94,24668.94,5464.07,3975.99,7228.0,1600.97251,0.1,0.85,6
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00007Table.csv,22491.25,12996.31,2883.49,6589.94,3807.9,844.86257,0.3,0.1,7
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00008Table.csv,20548.52,15170.81,3355.07,6020.72,4445.0,983.03551,0.3,0.25,8
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00009Table.csv,19484.48,16695.33,3727.95,5708.95,4891.7,1092.28935,0.3,0.4,9
9.2,2A,Gas,HOU+gasfurnace+slab+IECC_2006_para00010Table.csv,18372.49,18745.25,4201.65,5383.14,5492.4,1231.08345,0.3,0.55,10
