Run,Climate,System,Parametric,Heating [kBtuh]_92,Cooling [kBtuh]_92,Fan [kBtuh]_92,Heat [kW]_92,Cool [kW]_92,Fan [kW]_92,Demand [kW]_92,Heating [kBtuh]_95,Cooling [kBtuh]_95,Fan [kBtuh]_95,Heat [kW]_95,Cool [kW]_95,Fan [kW]_95,Demand [kW]_95,U,SHGC,Demand%Diff
3,3A,Gas,MEM+gasfurnace+slab+1990_para00003Table.csv,0,9.09,1.41,0,2.7,0.41313,3.11313,0,9.29,1.44,0,2.7,0.42192,3.12192,0.1,0.4,0.282352488
4,3A,Gas,MEM+gasfurnace+slab+1990_para00004Table.csv,0,10.7,1.68,0,3.1,0.49224,3.59224,0,11,1.73,0,3.2,0.50689,3.70689,0.1,0.55,3.191601897
5,3A,Gas,MEM+gasfurnace+slab+1990_para00005Table.csv,0,11.59,1.86,0,3.4,0.54498,3.94498,0,11.78,1.89,0,3.5,0.55377,4.05377,0.1,0.7,2.757681915
6,3A,Gas,MEM+gasfurnace+slab+1990_para00006Table.csv,0,12.63,2.06,0,3.7,0.60358,4.30358,0,12.55,2.05,0,3.7,0.60065,4.30065,0.1,0.85,-0.068082852
7,3A,Gas,MEM+gasfurnace+slab+1990_para00007Table.csv,0,8.19,1.21,0,2.4,0.35453,2.75453,0,8.27,1.23,0,2.4,0.36039,2.76039,0.3,0.1,0.212740468
8,3A,Gas,MEM+gasfurnace+slab+1990_para00008Table.csv,0,8.79,0,0,2.6,0,2.6,0,8.88,0,0,2.6,0,2.6,0.3,0.25,0
9,3A,Gas,MEM+gasfurnace+slab+1990_para00009Table.csv,0,9.27,1.44,0,2.7,0.42192,3.12192,0,10.38,1.61,0,3,0.47173,3.47173,0.3,0.4,11.20496361
10,3A,Gas,MEM+gasfurnace+slab+1990_para00010Table.csv,0,10.9,1.71,0,3.2,0.50103,3.70103,0,11.15,1.77,0,3.3,0.51861,3.81861,0.3,0.55,3.176953443
11,3A,Gas,MEM+gasfurnace+slab+1990_para00011Table.csv,0,11.76,1.89,0,3.4,0.55377,3.95377,0,11.94,1.92,0,3.5,0.56256,4.06256,0.3,0.7,2.751551051
12,3A,Gas,MEM+gasfurnace+slab+1990_para00012Table.csv,0,12.79,2.09,0,3.7,0.61237,4.31237,0,12.7,2.07,0,3.7,0.60651,4.30651,0.3,0.85,-0.135888154
13,3A,Gas,MEM+gasfurnace+slab+1990_para00013Table.csv,0,8.36,1.24,0,2.4,0.36332,2.76332,0,8.42,1.25,0,2.5,0.36625,2.86625,0.5,0.1,3.724867189
14,3A,Gas,MEM+gasfurnace+slab+1990_para00014Table.csv,0,8.97,1.37,0,2.6,0.40141,3.00141,0,9.02,1.38,0,2.6,0.40434,3.00434,0.5,0.25,0.097620785
15,3A,Gas,MEM+gasfurnace+slab+1990_para00015Table.csv,0,10.32,1.6,0,3,0.4688,3.4688,0,10.55,1.64,0,3.1,0.48052,3.58052,0.5,0.4,3.220710332
16,3A,Gas,MEM+gasfurnace+slab+1990_para00016Table.csv,0,11.09,1.75,0,3.2,0.51275,3.71275,0,11.31,1.8,0,3.3,0.5274,3.8274,0.5,0.55,3.088007542
17,3A,Gas,MEM+gasfurnace+slab+1990_para00017Table.csv,0,11.95,1.93,0,3.5,0.56549,4.06549,0,12.08,1.95,0,3.5,0.57135,4.07135,0.5,0.7,0.144140067
18,3A,Gas,MEM+gasfurnace+slab+1990_para00018Table.csv,0,12.94,2.12,0,3.8,0.62116,4.42116,0,12.83,2.1,0,3.8,0.6153,4.4153,0.5,0.85,-0.1325444
19,3A,Gas,MEM+gasfurnace+slab+1990_para00019Table.csv,0,8.51,1.28,0,2.5,0.37504,2.87504,0,8.59,1.29,0,2.5,0.37797,2.87797,0.7,0.1,0.101911626
20,3A,Gas,MEM+gasfurnace+slab+1990_para00020Table.csv,0,10.09,1.52,0,3,0.44536,3.44536,0,9.22,1.42,0,2.7,0.41606,3.11606,0.7,0.25,-9.557782061
21,3A,Gas,MEM+gasfurnace+slab+1990_para00021Table.csv,0,10.63,1.66,0,3.1,0.48638,3.58638,0,10.82,1.69,0,3.2,0.49517,3.69517,0.7,0.4,3.033420887
22,3A,Gas,MEM+gasfurnace+slab+1990_para00022Table.csv,0,11.39,1.81,0,3.3,0.53033,3.83033,0,11.57,1.84,0,3.4,0.53912,3.93912,0.7,0.55,2.840225255
23,3A,Gas,MEM+gasfurnace+slab+1990_para00023Table.csv,0,12.22,1.98,0,3.6,0.58014,4.18014,0,12.32,1.99,0,3.6,0.58307,4.18307,0.7,0.7,0.070093346
24,3A,Gas,MEM+gasfurnace+slab+1990_para00024Table.csv,0,13.12,2.15,0,3.8,0.62995,4.42995,0,13.04,2.14,0,3.8,0.62702,4.42702,0.7,0.85,-0.066140701
25,3A,Gas,MEM+gasfurnace+slab+1990_para00025Table.csv,0,8.66,1.3,0,2.5,0.3809,2.8809,0,8.73,1.31,0,2.6,0.38383,2.98383,0.9,0.1,3.57284182
26,3A,Gas,MEM+gasfurnace+slab+1990_para00026Table.csv,0,10.34,1.57,0,3,0.46001,3.46001,0,10.35,1.57,0,3,0.46001,3.46001,0.9,0.25,0
27,3A,Gas,MEM+gasfurnace+slab+1990_para00027Table.csv,0,10.92,1.72,0,3.2,0.50396,3.70396,0,11.06,1.74,0,3.2,0.50982,3.70982,0.9,0.4,0.158209052
28,3A,Gas,MEM+gasfurnace+slab+1990_para00028Table.csv,0,12.64,1.98,0,3.7,0.58014,4.28014,0,12.69,1.99,0,3.7,0.58307,4.28307,0.9,0.55,0.068455705
29,3A,Gas,MEM+gasfurnace+slab+1990_para00029Table.csv,0,12.5,2.03,0,3.7,0.59479,4.29479,0,12.54,2.04,0,3.7,0.59772,4.29772,0.9,0.7,0.068222195
30,3A,Gas,MEM+gasfurnace+slab+1990_para00030Table.csv,0,14.1,2.3,0,4.1,0.6739,4.7739,0,13.22,2.18,0,3.9,0.63874,4.53874,0.9,0.85,-4.925951528
31,3A,Gas,MEM+gasfurnace+slab+1990_para00031Table.csv,0,8.75,1.32,0,2.6,0.38676,2.98676,0,8.82,1.33,0,2.6,0.38969,2.98969,1.1,0.1,0.098099613
32,3A,Gas,MEM+gasfurnace+slab+1990_para00032Table.csv,0,10.51,1.6,0,3.1,0.4688,3.5688,0,10.5,1.6,0,3.1,0.4688,3.5688,1.1,0.25,0
33,3A,Gas,MEM+gasfurnace+slab+1990_para00033Table.csv,0,11.1,1.75,0,3.3,0.51275,3.81275,0,11.2,1.77,0,3.3,0.51861,3.81861,1.1,0.4,0.15369484
34,3A,Gas,MEM+gasfurnace+slab+1990_para00034Table.csv,0,12.88,2.02,0,3.8,0.59186,4.39186,0,12.86,2.01,0,3.8,0.58893,4.38893,1.1,0.55,-0.066714331
35,3A,Gas,MEM+gasfurnace+slab+1990_para00035Table.csv,0,13.5,2.14,0,4,0.62702,4.62702,0,12.64,2.06,0,3.7,0.60358,4.30358,1.1,0.7,-6.990244261
36,3A,Gas,MEM+gasfurnace+slab+1990_para00036Table.csv,0,14.22,2.32,0,4.2,0.67976,4.87976,0,14.11,2.31,0,4.1,0.67683,4.77683,1.1,0.85,-2.109325049
1,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00001Table.csv,0,6.85,3.79,0,2,1.11047,3.11047,0,6.9,3.79,0,2,1.11047,3.11047,0.1,0.1,0
2,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00002Table.csv,0,7.46,1.13,0,2.2,0.33109,2.53109,0,7.53,1.14,0,2.2,0.33402,2.53402,0.1,0.25,0.115760404
3,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00003Table.csv,0,7.95,1.23,0,2.3,0.36039,2.66039,0,8.14,1.27,0,2.4,0.37211,2.77211,0.1,0.4,4.199384301
4,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00004Table.csv,0,8.51,1.35,0,2.5,0.39555,2.89555,0,9.67,1.53,0,2.8,0.44829,3.24829,0.1,0.55,12.18214156
5,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00005Table.csv,0,10.28,1.66,0,3,0.48638,3.48638,0,10.47,1.69,0,3.1,0.49517,3.59517,0.1,0.7,3.120428639
6,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00006Table.csv,0,11.31,1.87,0,3.3,0.54791,3.84791,0,11.23,1.85,0,3.3,0.54205,3.84205,0.1,0.85,-0.152290464
7,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00007Table.csv,0,7.03,1.04,0,2.1,0.30472,2.40472,0,7.09,1.05,0,2.1,0.30765,2.40765,0.3,0.1,0.121843707
8,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00008Table.csv,0,7.64,0,0,2.2,0,2.2,0,7.71,0,0,2.3,0,2.3,0.3,0.25,4.545454545
9,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00009Table.csv,0,8.12,1.27,0,2.4,0.37211,2.77211,0,8.32,1.3,0,2.4,0.3809,2.7809,0.3,0.4,0.317086984
10,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00010Table.csv,0,9.58,1.51,0,2.8,0.44243,3.24243,0,9.85,1.57,0,2.9,0.46001,3.36001,0.3,0.55,3.626292626
11,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00011Table.csv,0,10.46,1.69,0,3.1,0.49517,3.59517,0,10.63,1.72,0,3.1,0.50396,3.60396,0.3,0.7,0.244494697
12,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00012Table.csv,0,11.47,1.9,0,3.4,0.5567,3.9567,0,11.4,1.88,0,3.3,0.55084,3.85084,0.3,0.85,-2.675461875
13,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00013Table.csv,0,7.2,1.07,0,2.1,0.31351,2.41351,0,7.26,1.08,0,2.1,0.31644,2.41644,0.5,0.1,0.121399953
14,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00014Table.csv,0,7.81,1.19,0,2.3,0.34867,2.64867,0,7.88,1.21,0,2.3,0.35453,2.65453,0.5,0.25,0.221243114
15,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00015Table.csv,0,8.28,1.3,0,2.4,0.3809,2.7809,0,8.47,1.33,0,2.5,0.38969,2.88969,0.5,0.4,3.912042864
16,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00016Table.csv,0,9.78,1.55,0,2.9,0.45415,3.35415,0,10.02,1.6,0,2.9,0.4688,3.3688,0.5,0.55,0.436772357
17,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00017Table.csv,0,10.66,1.73,0,3.1,0.50689,3.60689,0,10.79,1.75,0,3.2,0.51275,3.71275,0.5,0.7,2.93493841
18,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00018Table.csv,0,11.63,1.93,0,3.4,0.56549,3.96549,0,11.54,1.91,0,3.4,0.55963,3.95963,0.5,0.85,-0.147774928
19,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00019Table.csv,0,7.4,1.11,0,2.2,0.32523,2.52523,0,7.43,1.12,0,2.2,0.32816,2.52816,0.7,0.1,0.116029035
20,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00020Table.csv,0,8.02,1.24,0,2.3,0.36332,2.66332,0,8.07,1.25,0,2.4,0.36625,2.76625,0.7,0.25,3.86472523
21,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00021Table.csv,0,8.54,1.35,0,2.5,0.39555,2.89555,0,8.66,1.37,0,2.5,0.40141,2.90141,0.7,0.4,0.202379513
22,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00022Table.csv,0,10.09,1.62,0,3,0.47466,3.47466,0,10.27,1.65,0,3,0.48345,3.48345,0.7,0.55,0.252974392
23,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00023Table.csv,0,10.93,1.78,0,3.2,0.52154,3.72154,0,11.03,1.8,0,3.2,0.5274,3.7274,0.7,0.7,0.157461696
24,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00024Table.csv,0,11.83,1.96,0,3.5,0.57428,4.07428,0,11.76,1.95,0,3.4,0.57135,3.97135,0.7,0.85,-2.526335942
25,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00025Table.csv,0,7.62,1.14,0,2.2,0.33402,2.53402,0,7.65,1.15,0,2.2,0.33695,2.53695,0.9,0.1,0.115626554
26,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00026Table.csv,0,8.21,1.28,0,2.4,0.37504,2.77504,0,8.24,1.28,0,2.4,0.37504,2.77504,0.9,0.25,0
27,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00027Table.csv,0,8.77,1.39,0,2.6,0.40727,3.00727,0,9.75,1.54,0,2.9,0.45122,3.35122,0.9,0.4,11.43728365
28,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00028Table.csv,0,10.47,1.69,0,3.1,0.49517,3.59517,0,10.51,1.7,0,3.1,0.4981,3.5981,0.9,0.55,0.081498232
29,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00029Table.csv,0,11.2,1.84,0,3.3,0.53912,3.83912,0,11.25,1.85,0,3.3,0.54205,3.84205,0.9,0.7,0.076319573
30,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00030Table.csv,0,11.99,1.99,0,3.5,0.58307,4.08307,0,11.95,1.99,0,3.5,0.58307,4.08307,0.9,0.85,0
31,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00031Table.csv,0,7.75,1.17,0,2.3,0.34281,2.64281,0,7.78,1.17,0,2.3,0.34281,2.64281,1.1,0.1,0
32,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00032Table.csv,0,8.32,1.3,0,2.4,0.3809,2.7809,0,8.34,1.3,0,2.4,0.3809,2.7809,1.1,0.25,0
33,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00033Table.csv,0,9.8,1.55,0,2.9,0.45415,3.35415,0,9.89,1.57,0,2.9,0.46001,3.36001,1.1,0.4,0.174708943
34,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00034Table.csv,0,10.65,1.72,0,3.1,0.50396,3.60396,0,10.64,1.72,0,3.1,0.50396,3.60396,1.1,0.55,0
35,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00035Table.csv,0,11.36,1.86,0,3.3,0.54498,3.84498,0,11.35,1.86,0,3.3,0.54498,3.84498,1.1,0.7,0
36,3A,Gas,MEM+gasfurnace+slab+IECC_2006_para00036Table.csv,0,12.1,2.01,0,3.5,0.58893,4.08893,0,12.03,2,0,3.5,0.586,4.086,1.1,0.85,-0.071656888
1,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00001Table.csv,0,4.95,3.77,0,1.5,1.10461,2.60461,0,5.01,3.77,0,1.5,1.10461,2.60461,0.1,0.1,0
2,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00002Table.csv,0,5.55,0.86,0,1.6,0.25198,1.85198,0,5.62,0.88,0,1.6,0.25784,1.85784,0.1,0.25,0.316418104
3,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00003Table.csv,0,6.05,0.97,0,1.8,0.28421,2.08421,0,6.28,1.01,0,1.8,0.29593,2.09593,0.1,0.4,0.562323374
4,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00004Table.csv,0,6.71,1.1,0,2,0.3223,2.3223,0,6.98,1.15,0,2,0.33695,2.33695,0.1,0.55,0.630840115
5,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00005Table.csv,0,8.26,1.38,0,2.4,0.40434,2.80434,0,8.47,1.42,0,2.5,0.41606,2.91606,0.1,0.7,3.983825071
6,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00006Table.csv,0,9.4,1.61,0,2.8,0.47173,3.27173,0,9.33,1.6,0,2.7,0.4688,3.1688,0.1,0.85,-3.146042002
7,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00007Table.csv,0,5.15,0.78,0,1.5,0.22854,1.72854,0,5.21,0.79,0,1.5,0.23147,1.73147,0.3,0.1,0.169507214
8,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00008Table.csv,0,5.74,0,0,1.7,0,1.7,0,5.82,0,0,1.7,0,1.7,0.3,0.25,0
9,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00009Table.csv,0,6.24,1.01,0,1.8,0.29593,2.09593,0,6.45,1.05,0,1.9,0.30765,2.20765,0.3,0.4,5.330330689
10,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00010Table.csv,0,6.87,1.14,0,2,0.33402,2.33402,0,7.12,1.18,0,2.1,0.34574,2.44574,0.3,0.55,4.786591375
11,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00011Table.csv,0,8.44,1.42,0,2.5,0.41606,2.91606,0,8.62,1.46,0,2.5,0.42778,2.92778,0.3,0.7,0.401912169
12,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00012Table.csv,0,9.56,1.65,0,2.8,0.48345,3.28345,0,9.47,1.63,0,2.8,0.47759,3.27759,0.3,0.85,-0.178470816
13,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00013Table.csv,0,5.31,0.81,0,1.6,0.23733,1.83733,0,5.37,0.82,0,1.6,0.24026,1.84026,0.5,0.1,0.159470536
14,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00014Table.csv,0,5.92,0.93,0,1.7,0.27249,1.97249,0,5.98,0.95,0,1.8,0.27835,2.07835,0.5,0.25,5.366820618
15,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00015Table.csv,0,6.4,1.04,0,1.9,0.30472,2.20472,0,6.61,1.08,0,1.9,0.31644,2.21644,0.5,0.4,0.531586777
16,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00016Table.csv,0,7.04,1.17,0,2.1,0.34281,2.44281,0,7.27,1.21,0,2.1,0.35453,2.45453,0.5,0.55,0.479775341
17,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00017Table.csv,0,8.64,1.46,0,2.5,0.42778,2.92778,0,8.78,1.49,0,2.6,0.43657,3.03657,0.5,0.7,3.715784656
18,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00018Table.csv,0,9.72,1.68,0,2.8,0.49224,3.29224,0,9.6,1.65,0,2.8,0.48345,3.28345,0.5,0.85,-0.266991471
19,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00019Table.csv,0,5.47,0.84,0,1.6,0.24612,1.84612,0,5.54,0.85,0,1.6,0.24905,1.84905,0.7,0.1,0.158711243
20,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00020Table.csv,0,6.11,0.97,0,1.8,0.28421,2.08421,0,6.15,0.98,0,1.8,0.28714,2.08714,0.7,0.25,0.140580844
21,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00021Table.csv,0,6.68,1.09,0,2,0.31937,2.31937,0,6.84,1.12,0,2,0.32816,2.32816,0.7,0.4,0.378982224
22,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00022Table.csv,0,8.03,1.34,0,2.4,0.39262,2.79262,0,8.22,1.37,0,2.4,0.40141,2.80141,0.7,0.55,0.314758184
23,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00023Table.csv,0,8.91,1.51,0,2.6,0.44243,3.04243,0,9.04,1.54,0,2.6,0.45122,3.05122,0.7,0.7,0.288913796
24,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00024Table.csv,0,9.91,1.71,0,2.9,0.50103,3.40103,0,9.83,1.7,0,2.9,0.4981,3.3981,0.7,0.85,-0.086150372
25,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00025Table.csv,0,5.62,0.87,0,1.6,0.25491,1.85491,0,5.69,0.88,0,1.7,0.25784,1.95784,0.9,0.1,5.549056288
26,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00026Table.csv,0,6.31,1.01,0,1.8,0.29593,2.09593,0,6.35,1.02,0,1.9,0.29886,2.19886,0.9,0.25,4.910946453
27,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00027Table.csv,0,6.96,1.15,0,2,0.33695,2.33695,0,7.06,1.17,0,2.1,0.34281,2.44281,0.9,0.4,4.529835897
28,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00028Table.csv,0,8.45,1.42,0,2.5,0.41606,2.91606,0,8.49,1.43,0,2.5,0.41899,2.91899,0.9,0.55,0.100478042
29,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00029Table.csv,0,9.22,1.57,0,2.7,0.46001,3.16001,0,9.27,1.58,0,2.7,0.46294,3.16294,0.9,0.7,0.092721226
30,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00030Table.csv,0,10.07,1.74,0,3,0.50982,3.50982,0,10.02,1.73,0,2.9,0.50689,3.40689,0.9,0.85,-2.932629024
31,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00031Table.csv,0,5.72,0.89,0,1.7,0.26077,1.96077,0,5.78,0.9,0,1.7,0.2637,1.9637,1.1,0.1,0.149431091
32,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00032Table.csv,0,6.44,1.04,0,1.9,0.30472,2.20472,0,6.46,1.04,0,1.9,0.30472,2.20472,1.1,0.25,0
33,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00033Table.csv,0,7.12,1.18,0,2.1,0.34574,2.44574,0,7.17,1.19,0,2.1,0.34867,2.44867,1.1,0.4,0.119800142
34,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00034Table.csv,0,8.64,1.46,0,2.5,0.42778,2.92778,0,8.63,1.45,0,2.5,0.42485,2.92485,1.1,0.55,-0.100075825
35,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00035Table.csv,0,9.38,1.61,0,2.7,0.47173,3.17173,0,9.37,1.6,0,2.7,0.4688,3.1688,1.1,0.7,-0.092378607
36,3A,Gas,MEM+gasfurnace+slab+IECC_2018_para00036Table.csv,0,10.18,1.76,0,3,0.51568,3.51568,0,10.1,1.75,0,3,0.51275,3.51275,1.1,0.85,-0.083340918
1,4A,Elec,BWI+elecres+slab+1990_para00001Table.csv,44.44,0,3.05,13.02,0,0.89365,13.91365,44.44,0,3.05,13.02092,0,0.89365,13.91457,0.1,0.1,0.006612212
2,4A,Elec,BWI+elecres+slab+1990_para00002Table.csv,44.44,0,1.28,13.02,0,0.37504,13.39504,44.44,0,1.3,13.02092,0,0.3809,13.40182,0.1,0.25,0.05061575
3,4A,Elec,BWI+elecres+slab+1990_para00003Table.csv,44.44,0,1.43,13.02,0,0.41899,13.43899,44.44,0,1.49,13.02092,0,0.43657,13.45749,0.1,0.4,0.137659154
4,4A,Elec,BWI+elecres+slab+1990_para00004Table.csv,44.44,0,1.6,13.02,0,0.4688,13.4888,44.44,0,1.68,13.02092,0,0.49224,13.51316,0.1,0.55,0.180594271
5,4A,Elec,BWI+elecres+slab+1990_para00005Table.csv,44.44,0,1.81,13.02,0,0.53033,13.55033,44.44,0,1.86,13.02092,0,0.54498,13.5659,0.1,0.7,0.114904951
6,4A,Elec,BWI+elecres+slab+1990_para00006Table.csv,44.44,0,2.07,13.02,0,0.60651,13.62651,44.44,0,2.05,13.02092,0,0.60065,13.62157,0.1,0.85,-0.036252863
7,4A,Elec,BWI+elecres+slab+1990_para00007Table.csv,47.43,0,1.12,13.9,0,0.32816,14.22816,47.43,0,1.14,13.89699,0,0.33402,14.23101,0.3,0.1,0.0200307
8,4A,Elec,BWI+elecres+slab+1990_para00008Table.csv,47.43,0,0,13.9,0,0,13.9,47.43,0,0,13.89699,0,0,13.89699,0.3,0.25,-0.021654676
9,4A,Elec,BWI+elecres+slab+1990_para00009Table.csv,47.43,0,1.45,13.9,0,0.42485,14.32485,47.43,0,1.52,13.89699,0,0.44536,14.34235,0.3,0.4,0.122165328
10,4A,Elec,BWI+elecres+slab+1990_para00010Table.csv,47.43,0,1.63,13.9,0,0.47759,14.37759,47.43,0,1.7,13.89699,0,0.4981,14.39509,0.3,0.55,0.1217172
11,4A,Elec,BWI+elecres+slab+1990_para00011Table.csv,47.43,0,1.84,13.9,0,0.53912,14.43912,47.43,0,1.89,13.89699,0,0.55377,14.45076,0.3,0.7,0.080614331
12,4A,Elec,BWI+elecres+slab+1990_para00012Table.csv,47.43,0,2.09,13.9,0,0.61237,14.51237,47.43,0,2.07,13.89699,0,0.60651,14.5035,0.3,0.85,-0.061120272
13,4A,Elec,BWI+elecres+slab+1990_para00013Table.csv,50,0,1.15,14.65,0,0.33695,14.98695,50,0,1.18,14.65,0,0.34574,14.99574,0.5,0.1,0.058651026
14,4A,Elec,BWI+elecres+slab+1990_para00014Table.csv,50,0,1.34,14.65,0,0.39262,15.04262,50,0,1.37,14.65,0,0.40141,15.05141,0.5,0.25,0.05843397
15,4A,Elec,BWI+elecres+slab+1990_para00015Table.csv,50,0,1.49,14.65,0,0.43657,15.08657,50,0,1.55,14.65,0,0.45415,15.10415,0.5,0.4,0.116527481
16,4A,Elec,BWI+elecres+slab+1990_para00016Table.csv,50,0,1.67,14.65,0,0.48931,15.13931,50,0,1.73,14.65,0,0.50689,15.15689,0.5,0.55,0.116121541
17,4A,Elec,BWI+elecres+slab+1990_para00017Table.csv,50,0,1.88,14.65,0,0.55084,15.20084,50,0,1.91,14.65,0,0.55963,15.20963,0.5,0.7,0.057825752
18,4A,Elec,BWI+elecres+slab+1990_para00018Table.csv,50,0,2.12,14.65,0,0.62116,15.27116,50,0,2.09,14.65,0,0.61237,15.26237,0.5,0.85,-0.057559478
19,4A,Elec,BWI+elecres+slab+1990_para00019Table.csv,52.24,0,1.19,15.31,0,0.34867,15.65867,52.24,0,1.21,15.30632,0,0.35453,15.66085,0.7,0.1,0.013922
20,4A,Elec,BWI+elecres+slab+1990_para00020Table.csv,52.24,0,1.39,15.31,0,0.40727,15.71727,52.24,0,1.42,15.30632,0,0.41606,15.72238,0.7,0.25,0.032512007
21,4A,Elec,BWI+elecres+slab+1990_para00021Table.csv,52.24,0,1.56,15.31,0,0.45708,15.76708,52.24,0,1.61,15.30632,0,0.47173,15.77805,0.7,0.4,0.069575343
22,4A,Elec,BWI+elecres+slab+1990_para00022Table.csv,52.24,0,1.74,15.31,0,0.50982,15.81982,52.24,0,1.79,15.30632,0,0.52447,15.83079,0.7,0.55,0.069343393
23,4A,Elec,BWI+elecres+slab+1990_para00023Table.csv,52.24,0,1.93,15.31,0,0.56549,15.87549,52.24,0,1.96,15.30632,0,0.57428,15.8806,0.7,0.7,0.032187983
24,4A,Elec,BWI+elecres+slab+1990_para00024Table.csv,52.24,0,2.16,15.31,0,0.63288,15.94288,52.24,0,2.13,15.30632,0,0.62409,15.93041,0.7,0.85,-0.078216734
25,4A,Elec,BWI+elecres+slab+1990_para00025Table.csv,54.21,0,1.22,15.88,0,0.35746,16.23746,54.21,0,1.24,15.88353,0,0.36332,16.24685,0.9,0.1,0.057829242
26,4A,Elec,BWI+elecres+slab+1990_para00026Table.csv,54.21,0,1.45,15.88,0,0.42485,16.30485,54.21,0,1.47,15.88353,0,0.43071,16.31424,0.9,0.25,0.057590226
27,4A,Elec,BWI+elecres+slab+1990_para00027Table.csv,54.21,0,1.62,15.88,0,0.47466,16.35466,54.21,0,1.67,15.88353,0,0.48931,16.37284,0.9,0.4,0.111160978
28,4A,Elec,BWI+elecres+slab+1990_para00028Table.csv,54.21,0,1.83,15.88,0,0.53619,16.41619,54.21,0,1.85,15.88353,0,0.54205,16.42558,0.9,0.55,0.05719963
29,4A,Elec,BWI+elecres+slab+1990_para00029Table.csv,54.21,0,2,15.88,0,0.586,16.466,54.21,0,2.01,15.88353,0,0.58893,16.47246,0.9,0.7,0.039232358
