Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
30,2A,Elec,HOU+elecres+slab+IECC_2006_para00030Table.csv,20406.13,22706.03,5491.34,5979,6652.9,1608.96262,20442.19,22548.67,5454.94,5989.56,6606.8,1598.29742,0.9,0.85,0.176711606,-0.693031763,-0.662861888
31,2A,Elec,HOU+elecres+slab+IECC_2006_para00031Table.csv,27835.54,12069.79,2950.42,8155.81,3536.4,864.47306,27554.91,12368.72,3010.51,8073.59,3624,882.07943,1.1,0.1,-1.008171568,2.476679379,2.036659188
32,2A,Elec,HOU+elecres+slab+IECC_2006_para00032Table.csv,25461.4,14710.59,3579.23,7460.19,4310.2,1048.71439,25395.02,14812.9,3601.9,7440.74,4340.2,1055.3567,1.1,0.25,-0.260708366,0.695485361,0.633376452
33,2A,Elec,HOU+elecres+slab+IECC_2006_para00033Table.csv,24041.8,16753.31,4080.38,7044.25,4908.7,1195.55134,23918.08,17002.34,4137.76,7008,4981.7,1212.36368,1.1,0.4,-0.514603732,1.486452528,1.406241576
34,2A,Elec,HOU+elecres+slab+IECC_2006_para00034Table.csv,22846.23,18990.84,4624.63,6693.95,5564.3,1355.01659,22863.29,18927.53,4609.45,6698.94,5545.8,1350.56885,1.1,0.55,0.074673152,-0.333371246,-0.328242476
35,2A,Elec,HOU+elecres+slab+IECC_2006_para00035Table.csv,22041.82,20802.23,5066.57,6458.25,6095.1,1484.50501,22046.79,20756.18,5056.23,6459.71,6081.6,1481.47539,1.1,0.7,0.022548047,-0.221370497,-0.204082841
36,2A,Elec,HOU+elecres+slab+IECC_2006_para00036Table.csv,21346.01,22748.92,5545.59,6254.38,6665.4,1624.85787,21408.02,22511.2,5489.82,6272.55,6595.8,1608.51726,1.1,0.85,0.290499255,-1.044972684,-1.00566396
1,2A,Elec,HOU+elecres+slab+IECC_2018_para00001Table.csv,13070.64,10333.43,2228.02,3829.7,3027.7,652.80986,12825.84,10667,2285.54,3757.97,3125.4,669.66322,0.1,0.1,-1.872899873,3.228066576,2.581664437
2,2A,Elec,HOU+elecres+slab+IECC_2018_para00002Table.csv,11612.91,12477.29,2684.68,3402.58,3655.8,786.61124,11449.03,12833.97,2755.89,3354.57,3760.4,807.47577,0.1,0.25,-1.411188066,2.858633565,2.652457649
3,2A,Elec,HOU+elecres+slab+IECC_2018_para00003Table.csv,10851.73,14049.62,3059.58,3179.56,4116.5,896.45694,10521.41,14995.42,3245.82,3082.77,4393.7,951.02526,0.1,0.4,-3.043938616,6.731854669,6.087109995
4,2A,Elec,HOU+elecres+slab+IECC_2018_para00004Table.csv,10127.13,16102.92,3534.1,2967.25,4718.2,1035.4913,9842.84,17235.83,3772.05,2883.95,5050.1,1105.21065,0.1,0.55,-2.807211915,7.035432083,6.732973034
5,2A,Elec,HOU+elecres+slab+IECC_2018_para00005Table.csv,9464.37,18778.48,4151.12,2773.06,5502.1,1216.27816,9349.78,19432.32,4297.35,2739.49,5693.7,1259.12355,0.1,0.7,-1.210751482,3.481857957,3.522663763
